id,nombre,especie,edad,ultima_atencion
1,Max,Perro,5,2024-06-01 10:30:00
2,Luna,Gato,3,2024-06-02 14:45:00
3,PERRITO,Perro,4,2026-06-12 15:38:23.611371
4,BAITY,Pájaro,14,2026-06-14 13:18:31.716965
5,MARTES,Gato,5,2026-06-16 15:21:07.790126
6,NOS,Pájaro,4,2026-06-16 15:21:58.190499
7,feo,Reptil,1,2026-06-16 15:24:10.806030
8,vista,Reptil,15,2026-06-16 15:28:51.310455
9,EJEMPLO,Pájaro,6,2026-06-18 18:13:30.790367
10,ejemplo2,Perro,5,2026-06-18 18:14:23.461204
11,PATO,Pájaro,5,2026-06-18 18:52:38.523345
12,ejemplo3,Pájaro,4,2026-06-18 18:53:39.031801
13,lkasjdalsk,Pájaro,14,2026-06-18 18:54:56.298776
14,nuevo,Otro,6,2026-06-18 19:01:29.375856
15,EL NEGRO TECLA,Reptil,45,2026-06-18 19:19:44.429241
16,slakdjas,Pájaro,14,2026-06-18 19:27:55.406410
